time,gold,towers,kills,blue_team,red_team,kda_top,kda_jungle,kda_mid,kda_adc,kda_supp,minions_top,minions_jungle,minions_mid,minions_adc,minions_supp,hextech_dragon,infernal_dragon,mountain_dragon,ocean_dragon,wind_dragon,baron,elder,herald,champion_red_top,champion_red_jungle,champion_red_mid,champion_red_adc,champion_red_supp,champion_blue_top,champion_blue_jungle,champion_blue_mid,champion_blue_adc,champion_blue_supp
00:01:07,4800.0,0.0,-2.0,Astralis,Team Vitality,0.0,-2.0,-1.0,-1.0,-2.0,-16.0,-56.0,-90.0,-11.0,-10.0,0,0,0,0,0,1,1,-1,Gnar,Ivern,Twisted Fate,Zeri,Amumu,Ornn,Trundle,Sylas,Xayah,Tahm Kench
00:20:50,1900.0,1.0,0.0,Rogue,,2.0,-1.5,,,2.0,19.0,-31.0,9.0,63.0,-3.0,0,0,0,0,0,1,1,0,Akali,Ivern,Zoe,Sivir,Amumu,Gwen,Trundle,Sylas,Kalista,Alistar
00:02:23,700.0,0.0,2.0,,Astralis,,,,,,,,-1.0,,,0,0,0,0,0,1,1,0,Poppy,Viego,Sylas,Ezreal,Maokai,Ornn,Trundle,Azir,Zeri,Tahm Kench
00:09:14,8600.0,0.0,-1.0,SK Gaming,Astralis,-1.0,-1.0,0.0,10.0,0.0,-31.0,-60.0,5.0,0.0,2.0,0,0,0,0,0,1,1,0,Volibear,Volibear,Orianna,Xayah,Rakan,Pantheon,Trundle,Twisted Fate,Jinx,Thresh
00:04:37,8100.0,0.0,1.0,Misfits Gaming,,0.0,,0.0,1.0,1.0,0.0,-5.0,0.0,2.0,,0,0,0,0,0,1,1,0,Gangplank,Volibear,Syndra,Ezreal,Maokai,Ornn,Wukong,Twisted Fate,Xayah,Nautilus
00:06:08,,0.0,1.0,Excel Esports,Team BDS,1.0,,1.0,0.0,,8.0,35.0,54.0,-7.0,0.0,0,0,0,0,0,0,1,0,Sylas,Camille,Orianna,Ezreal,Maokai,Sion,Wukong,Akali,Lucian,Nami
00:06:37,-100.0,0.0,0.0,Astralis,Excel Esports,0.0,0.0,0.0,0.0,0.0,-5.0,-5.0,-11.0,-41.0,-3.0,0,0,0,0,0,1,1,0,Gnar,Udyr,Lissandra,Kalista,Shen,Ornn,Wukong,Orianna,Ashe,Renata Glasc
00:09:06,-300.0,0.0,0.0,SK Gaming,Excel Esports,-2.0,,0.0,1.0,2.0,60.0,-5.0,72.0,-54.0,,0,0,0,0,0,1,1,0,Ornn,Volibear,Sylas,Zeri,Janna,Sylas,Kha'Zix,Sylas,Kalista,Tahm Kench
00:06:27,600.0,0.0,1.0,SK Gaming,Team BDS,1.0,0.0,0.0,0.0,0.0,10.0,1.0,-6.0,43.0,3.0,0,0,0,0,0,1,1,0,Ornn,Ivern,Sylas,Aphelios,Amumu,Gnar,Ivern,Azir,Zeri,Tahm Kench
00:12:06,-500.0,0.0,-2.0,Astralis,Team BDS,0.0,-2.0,-1.0,-1.0,-1.0,7.0,-6.0,2.0,5.0,0.0,0,0,0,0,0,1,1,1,Ornn,Lillia,Sylas,Aphelios,Zilean,Ornn,Wukong,Sylas,Zeri,Amumu
00:03:58,,0.0,0.0,Misfits Gaming,Fnatic,0.0,0.0,0.0,0.0,0.0,2.0,0.0,-20.0,0.0,,0,0,0,0,0,1,1,0,Ornn,Udyr,Katarina,Ezreal,Pyke,Gnar,Poppy,Sylas,Aphelios,Janna
00:04:48,-9000.0,0.0,0.0,Misfits Gaming,Fnatic,0.0,0.0,0.0,0.0,0.0,7.0,0.0,5.0,21.0,,0,0,0,0,0,1,1,0,Ornn,Udyr,Katarina,Ezreal,Pyke,Gnar,Poppy,Sylas,Aphelios,Janna
00:05:38,-5000.0,0.0,-1.0,Misfits Gaming,Fnatic,-1.0,-1.0,0.0,0.0,0.0,7.0,,0.0,-15.0,-5.0,0,0,0,0,0,1,1,0,Ornn,Udyr,Sylas,Ezreal,Pyke,Gnar,Poppy,Sylas,Aphelios,Janna
00:06:28,-5100.0,0.0,-1.0,Misfits Gaming,Fnatic,-1.0,-1.0,0.0,0.0,0.0,10.0,-6.0,5.0,-7.0,2.0,0,0,0,0,0,1,1,0,Ornn,Udyr,Sylas,Ezreal,Pyke,Gnar,Poppy,Sylas,Aphelios,Janna
00:07:18,9700.0,0.0,-1.0,Misfits Gaming,Fnatic,-1.0,-1.0,0.0,0.0,0.0,-43.0,-44.0,3.0,-2.0,-7.0,0,0,0,0,0,1,1,0,Ornn,Udyr,Katarina,Ezreal,Pyke,Ornn,Poppy,Sylas,Aphelios,Janna
